neighborhood,year,month,incident_type,response_min
Washington Heights,2024,2,Medical,10.27
Chatham,2021,3,Fire,10.82
West Town,2019,6,Police,5.53
Edison Park,2021,10,Medical,11.51
Near South Side,2021,6,Police,8.5
Washington Heights,2019,12,Police,6.14
Near West Side,2023,12,Medical,10.39
Grand Boulevard,2019,12,Medical,6.05
Portage Park,2020,7,Medical,9.14
Portage Park,2021,12,Medical,7.04
Kenwood,2020,11,Police,11.62
Greater Grand Crossing,2019,4,Fire,11.0
Mount Greenwood,2019,8,Medical,3.7
Kenwood,2024,8,Medical,8.56
Uptown,2023,11,Medical,9.75
Douglas,2021,7,Police,8.12
West Ridge,2022,3,Police,13.19
Kenwood,2019,3,Medical,8.3
Roseland,2024,2,Police,8.91
Beverly,2022,11,Medical,7.08
West Ridge,2021,7,Police,6.73
Near South Side,2020,6,Police,10.99
Riverdale,2021,12,Police,15.62
Irving Park,2023,7,Police,8.81
Douglas,2022,2,Police,6.98
Washington Park,2024,4,Medical,10.8
Woodlawn,2022,1,Fire,13.56
South Shore,2020,2,Police,14.25
Austin,2024,7,Medical,11.48
West Town,2020,5,Medical,12.36
Uptown,2019,10,Police,7.96
Auburn Gresham,2021,3,Medical,7.17
Near North Side,2023,2,Medical,10.7
Near South Side,2019,3,Medical,7.92
Jefferson Park,2021,4,Medical,7.12
Washington Heights,2020,10,Police,8.98
North Lawndale,2023,10,Medical,13.62
Lincoln Square,2020,5,Police,11.19
Washington Park,2024,8,Police,6.46
Humboldt Park,2020,9,Police,12.03
Jefferson Park,2022,2,Police,11.1
Hyde Park,2021,12,Medical,6.38
West Ridge,2019,3,Medical,9.53
Loop,2022,4,Police,7.96
South Shore,2024,7,Medical,6.78
Near North Side,2021,6,Police,9.94
Edison Park,2024,6,Police,4.52
West Englewood,2021,10,Police,13.41
Humboldt Park,2021,7,Police,12.94
West Garfield Park,2023,1,Medical,7.34
Greater Grand Crossing,2022,8,Medical,8.89
Mount Greenwood,2019,9,Medical,9.77
Lincoln Square,2022,2,Police,6.41
West Ridge,2024,1,Medical,7.74
Lincoln Park,2020,4,Police,6.52
Lincoln Square,2024,11,Medical,9.3
Chatham,2021,2,Police,10.87
North Lawndale,2020,6,Medical,12.42
Hyde Park,2022,3,Medical,9.94
Englewood,2019,9,Police,12.88
Albany Park,2020,8,Fire,8.57
Greater Grand Crossing,2020,7,Medical,9.23
Humboldt Park,2023,11,Police,14.28
Pullman,2022,7,Medical,10.23
West Town,2020,7,Fire,8.04
Edison Park,2022,5,Police,4.28
Humboldt Park,2019,8,Police,15.3
Grand Boulevard,2020,4,Medical,8.64
Mount Greenwood,2019,5,Police,9.35
Near South Side,2024,3,Medical,6.98
Austin,2020,3,Fire,9.01
North Lawndale,2021,2,Medical,8.82
Kenwood,2023,5,Medical,10.24
Hyde Park,2023,12,Medical,6.46
Washington Park,2023,2,Police,11.94
Morgan Park,2019,10,Medical,6.32
Chatham,2022,4,Police,10.34
West Town,2023,10,Medical,8.56
Rogers Park,2024,12,Fire,8.64
Washington Park,2020,1,Medical,8.87
Near North Side,2020,2,Police,3.35
Jefferson Park,2021,11,Police,10.54
Kenwood,2019,1,Police,8.92
Rogers Park,2020,2,Police,8.11
Edison Park,2020,4,Medical,13.21
Kenwood,2021,1,Medical,5.18
Portage Park,2021,6,Medical,7.14
West Garfield Park,2022,1,Medical,11.21
Edison Park,2022,3,Police,8.65
West Englewood,2022,2,Medical,10.23
West Englewood,2020,2,Medical,10.79
Riverdale,2021,4,Fire,11.24
Lake View,2024,9,Medical,5.69
Washington Heights,2019,3,Police,13.17
Morgan Park,2022,12,Police,8.92
South Shore,2024,6,Medical,9.16
Near North Side,2023,12,Police,8.49
Jefferson Park,2020,11,Medical,4.35
Edison Park,2019,10,Medical,3.93
Irving Park,2020,3,Police,12.34
Englewood,2024,10,Medical,11.29
